LAT,LON,depth
20.61667,78.71667,3.9
20.75444,78.48528,4.26
20.76389,78.52361,3.2
20.69167,78.41611,3.15
20.46667,78.78333,3.13
20.38889,78.73528,2.85
21.2,78.18333,2.18
21.26667,78.23333,7.73
21.10556,78.20333,2.1
20.54889,78.69417,5.1
20.55,78.81667,1.57
20.83361,78.70194,10.75
21.16667,78.43333,8.23
20.54889,78.585,4.91
17.68472,79.68472,5.88
17.66667,79.81667,1.4
17.79167,79.78306,1.73
17.745,79.17389,1.2
17.77333,79.09083,4.35
17.8525,79.99028,2.42
17.48306,79.77306,4.48
17.45611,79.97694,2.12
17.52972,79.46194,3.1
17.52111,79.36417,5.6
17.53333,79.35167,6.25
17.67083,79.325,11.85
18.21222,80.48861,1.67
18.25083,80.49583,4.95
18.18528,79.82556,2.12
18.3,79.96667,1.75
17.825,79.74028,7
17.71944,79.08611,4.27
17.74056,79.23333,1.05
17.74722,79.26,13.85
17.79167,79.80833,1.15
17.80833,79.96667,2.55
17.84167,79.93333,15.52
17.82639,79.01583,4
18.16667,80.20833,5.25
18.22917,80.3125,2.19
18.33333,79.66667,5.75
18.43417,79.88278,1.82
18.44167,79.875,32.35
18.40139,80.40278,1.5
18.40278,80.4,1.93
17.78389,79.40833,7.52
17.76389,79.375,2.6
17.60361,80.00889,1.52
17.58333,79.9,2.92
17.54167,79.45,2.75
17.61667,79.51944,9.7
17.7,79.91667,1.7
17.66667,79.81667,3.21
17.97444,79.50944,0.72
18,79.58333,0.57
18.03333,79.53472,8.53
18.18139,79.94861,0.92
17.91889,80.04722,0.07
18.20556,79.98333,0.95
18.25111,80.51278,6.4
18.30722,79.82528,0.87
18.16667,80.4,2.58
18.19444,80.16667,1.65
18.20528,80.20556,0.85
18.23333,80.25417,0.94
18.33167,80.43528,4.9
18.33167,80.43528,1.9
18.09722,79.68056,2.1
18.11528,79.74167,1.73
17.45,79.95,4.4
17.64861,79.23611,4.05
17.66111,79.43194,2.05
17.855,79.46111,7.6
17.8625,79.46667,4.84
17.86111,79.52778,0.13
17.88333,79.55278,55.5
17.925,79.89167,1.58
17.86111,79.28194,14.17
17.90972,79.43611,4.05
17.88333,79.16389,26.96
17.9,79.96667,11.2
17.97194,79.21528,0.88
17.95833,79.95833,1.58
17.98694,79.91139,1.11
17.99694,79.91083,2.95
17.95167,79.69972,6.55
17.89722,79.08611,15.6
17.9925,79.44083,15.25
18.00556,79.35556,2.8
18.02167,79.80639,3.15
18.08472,79.49861,3.5
18.23333,80.08333,5.15
17.82806,79.56139,9
17.83056,79.59528,7.65
17.86389,79.60833,10.2
17.88333,79.6375,2.12
17.91917,79.84056,1.4
17.88111,79.71556,0.87
17.78389,79.40833,6.85
17.85,79.36667,10.2
18.12167,83.59444,2.45
18.11667,83.13333,1.39
18.95417,83.64444,2.64
18.52361,83.20833,7.59
18.0625,83.52917,4.39
18.29722,83.33056,3.52
18.645,83.275,1.43
18.88333,83.59167,5.02
18.9,83.46333,3.55
18.66667,83.41667,1.95
17.89583,83.19167,1.56
18.40333,83.33833,4.7
18.69306,83.31111,3.85
